Category,No.,Name,City,Country,Continent,Lat,Long,Wall,Adj Lat,Y,,Adj Long,,X coordinate,From corner,Image,Fact
C,1,Great Wall of China,,China,Asia,40.431891,116.570064,East,22.39993961,98.18785364,130,13.429936,5.5,15.75157368,,,
,,,Manila,Philippines,,14.599512,120.984219,East,8.088372299,80.3747072,130,9.015781,5.5,10.46661085,,,
,,,Pyongyang,North Korea,,39.039219,125.762524,East,21.62837618,97.15445205,130,4.237476,5.5,4.887653029,,,
,,,Seoul,South Korea,,37.566535,126.977969,East,20.81248476,96.07359706,130,3.022031,5.5,3.482591839,,,
,,,,,,,,,,,130,130,5.5,-78.83972831,,,
,,Puncak Jaya,,Paua Province,Indonesia,-4.084599,137.186618,East,-2.262935734,68.39325246,130,7.186618,5.5,8.317814991,,,
C,1,Mount Fuji,,Japan,Asia,35.360414,138.727718,East,19.59025706,94.47600914,130,8.727718,5.5,10.12688129,,,
C,2,The Great Buddha of Kamakura,Tokyo,Japan,Asia,35.316681,139.536145,East,19.56602825,94.44458908,130,9.536145,5.5,11.0816928,,,
,,Kosciuszko,,New South Wales,Australia,-36.455898,148.263599,East,-20.19717341,46.73381481,130,18.263599,5.5,21.76907934,,,
C,1,Sydney Opera House,Sydney,Australia ,Oceania,-33.857281,151.215136,East,-18.7574964,48.5986047,130,21.215136,5.5,25.60551862,,,
,,,Wellington,New Zealand,,-41.28646,174.776236,East,-22.87338504,43.17236351,130,44.776236,5.5,65.43461709,,,
